church_id,name_of_church,denomination,date_organized,city_name,street_address,county,state,sourceid,worker.name,wpa.number,mill_relation,church_origin,mill_id,property_value,present_membership,charter_members,"African,American",budget,outcome_id,avg.current.attendance,latitude,longitude,outcome.source,outcome_notes,notes
,Oakwood,Southern Baptist Convention,1906,Anderson,Corner Rogers + Simmons St.,Anderson,SC,,Fred A. Wood,25,"1,9",,,10520,750,NA,,,5,,34.513,82.66869,,"Still exists, different location. Bethel Baptist is at the original building from 1978","Originally associated with Cox Mill, when another mill was built 1 mile south of present place it brought about the change of location. All members of church are cotton mill workers"
,Pendleton Second Baptist,Southern Baptist Convention,Feb-21,Pendleton,Church St.,Anderson,SC,,Fred A. Wood,42,3,,,2000,105,29,,325,"3, 5",,34.64418,82.77591,https://faithpendleton.com/our-story,Same congregation under new name and location; Ambassadors for Christ bought it in 2005 and sold twice in 2024 to two people,Pendleton Mfg. Co. owned the building and provided electricity
,Church of God,"Holiness (Headquarters Cleveland, Tenn.)",1927,La France,"School Bldg, Circle Street",Anderson,SC,,Fred A. Wood,43,6,1,,2500,51,19,,0,,,34.61003,82.75773,,,"Mary Lynch (missionary from Cleveland, TN) worked with missions at this mill and Pendleton Mill, appeared to be incredibly vital to organization of revival that led to organization of church"
,The Church of God,Holliness Headquarters in Tenn.,1939,Williamston,at Kellys Crossing,Anderson,SC,,Fred A. Wood,80,2,,,1650,27,8,,275,,,34.62143,82.47755,,,Gossett Mills donated lot
,Williamston Second Baptist,Southern Baptist Convention,1903,Williamston,First Street (no number),Anderson,SC,,Fred A. Wood,83,"6, 1, 3",2,,8000,285,8,,2000,,,34.61045,82.48254,,,"Used by methodists too, church was given and built by mill company"
,Wesleyan Methodist,Wesleyan Methodist,1903,Williamston,Front Street (no number),Anderson,SC,,Fred A. Wood,84,"6, 3, 1",1,,1250,23,NA,,400,3,,34.62143,82.47755,https://alivewesleyan.com/church-planting/,"Appears to have become Pleasant View, which became a campus of ALIVE, then collapsed with Pelzer to form EMERGE (still Wesleyan)",revival meeting held at abandoned school house the company rented to them
,Piedmont Presbyterian,Pres. US,05/18/1880,Piedmont,Anderson Street (no number),Anderson,SC,,Fred A. Wood,85,"1, 3, 9",,,10000,175,9,,2400,,,34.70012,82.46608,,,mill company furnishes parsonage
,Wesleyan Methodist,Wesleyan Methodist,1904,Piedmont,Anderson Street (no number),Anderson,SC,,Fred A. Wood,86,"3, 9",1,,2425,64,4,,475,2,,34.70012,82.46608,https://www.scwesleyan.org/church-directory,"Not listed on the Wesleyan's directory, no deed payment, google says closed, last fb in november 2023. Grantor search shows it was deed to them by JP Stevens Co (pg. 16)",Mill company renovated parsonage
,Williamston Mill Methodist,Methodist,1904,Williamston,First Street (no number),Anderson,SC,,Fred A. Wood,87,"6, 1",2,,7000,14,5,,280,,,34.61045,82.48254,,,"Very small, plans made to consolidate with Grace Methodist (also in Williamston)"
,Tabernacle,Southern Baptist Convention,08/29/1897,Pelzer,Orr Street (no number),Anderson,SC,,Fred A. Wood,89,6,2,,11000(?),537,30,,3250,,,34.6513,82.46213,,,"Members came from Pelzer First Baptist, first organization was known as Pelzer Second Baptist Church (1897-9/1/1903)"
,Wesleyan Methodist,Wesleyan Methodist,1886,Pelzer,Lebby Street (no number),Anderson,SC,,Fred A. Wood,90,"6, 2, 9, 10, 1",,,11050,215,NA,,950,3,,34.64239,82.46125,,Now Alive Wesleyan - Pelzer Campus. Pelzer Wesleyan Methodist sold to Life Journey Church (Welseyan still) on 2/25/2011,"Mrs. FJ Pelzer contributed largely to erection of the union church (when other churches built their own, this group kept the building)"
,First Baptist,Southern Baptist Convention,3rd Sunday in Jan. 1882,Pelzer,Reed Street (no number),Anderson,SC,,Fred A. Wood,92,"1, 4",,,NA,450,15,,3600,,,34.64114,82.45956,,,
,Presbyterian Church,Presbyterian,10/29/1883,Pelzer,Lebby Street (no number),Anderson,SC,,Fred A. Wood,93,"6, 1, 4",,,8675,65,9,,1200,,,34.64225,82.45889,https://lebbystreetweddings.com/,Now Lebby St wedding chapel,"""Family of the President of the Pelzer Co. was the first Presbyterian family to take up their abode upon these, then barren, hills"" - president was Mr. Ellison A. Smyth"
,Methodist Church,Methodist,1883,Pelzer,Lebby Street (no number),Anderson,SC,,Fred A. Wood,94,"6, 1, 3",2,,11750,612,NA,,5750,1,16,34.64239,82.46125,https://www.umdata.org/church?church=270782,on a charge,Mrs. FJ Pelzer gave the lot
,Church of God,"Holiness (Headquarters Cleveland, Tenn.)",1920,Pelzer,1 mile N. of Pelzer S.C. No Street Name,Anderson,SC,,Fred A. Wood,95,6,,,1075,20,7,,175,,,34.6417,82.45658,,,
,Church of God,"Holiness (Headquarters Cleveland, Tenn.)",1935,West Pelzer,No Street Name,Anderson,SC,,Fred A. Wood,96,6,,,1000,18,8,,155,,,34.64518,82.46792,,,
,Wesleyan,Wesleyan Methodist,1916,Iva,No street address,Anderson,SC,,Fred A. Wood,110,"6, 4",1,,3400,34,20,,365,3,,34.30503,82.66321,,Merged with Fellowship Wesleyan Church in Iva in July 2011 to form Community Wesleyan Church; deeded to the Wesleyan Methodist Church by Jackson Mills on 12/6/1948; jackson mills owned parsonage,
,Bethel,Methodist,1889,Iva,Mill Street,Anderson,SC,,Fred A. Wood,137,"6, 4",,,10150,360,NA,,1253,1,13,34.30503,82.66321,,,"Nearly all members worked in the mill, mill company takes a portion of their paycheck to pay the pastor"
